Plant_species,Mycorrhizal_strategy,Dourght_adaptation
Celastrus_scandens,AM,tolerant
Celtis_occidentalis,AM,tolerant
Cephalanthus_occidentalis,AM,tolerant
Chaenactis_douglasii,AM,tolerant
Chamaecrista_fasciculata,AM,tolerant
Chamaecyparis_lawsoniana,AM,sensitive
Chasmanthium_latifolium,AM,tolerant
Chloris_gayana,AM,tolerant
Cichorium_intybus,AM,tolerant
Cladrastis_kentukea,AM,tolerant
Clematis_ligusticifolia,AM,tolerant
Clematis_virginiana,AM,tolerant
Cocos_nucifera,AM,tolerant
Coffea_arabica,AM,tolerant
Cordyline_fruticosa,AM,tolerant
Cornus_florida,AM,tolerant
Cornus_mas,AM,tolerant
Cornus_racemosa,AM,tolerant
Cotoneaster_acutifolius,AM,tolerant
Cotoneaster_horizontalis,AM,tolerant
Crotalaria_juncea,AM,tolerant
Crotalaria_spectabilis,AM,tolerant
Cryptomeria_japonica,AM,tolerant
Cynodon_dactylon,AM,tolerant
Dactylis_glomerata,AM,tolerant
Danthonia_californica,AM,tolerant
Danthonia_compressa,AM,tolerant
Danthonia_intermedia,AM,tolerant
Delonix_regia,AM,tolerant
Desmodium_intortum,AM,tolerant
Desmodium_paniculatum,AM,tolerant
Digitaria_eriantha,AM,tolerant
Distichlis_spicata,AM,tolerant
Echinacea_pallida,AM,tolerant
Elephantopus_carolinianus,AM,tolerant
Elymus_canadensis,AM,tolerant
Elymus_virginicus,AM,tolerant
Engelmannia_peristenia,AM,tolerant
Eremochloa_ophiuroides,AM,tolerant
Erigeron_strigosus,AM,tolerant
Eriochloa_polystachya,AM,tolerant
Herrickia_glauca,AM,tolerant
Euthamia_occidentalis,AM,tolerant
Fragaria_chiloensis,AM,tolerant
Frangula_alnus,AM,sensitive
Fraxinus_pennsylvanica,AM,tolerant
Fritillaria_pudica,AM,tolerant
Gaillardia_aristata,AM,tolerant
Gliricidia_sepium,AM,tolerant
Glycine_max,AM,tolerant
Gynerium_sagittatum,AM,tolerant
Helenium_flexuosum,AM,tolerant
Helianthus_angustifolius,AM,tolerant
Helianthus_annuus,AM,tolerant
Helianthus_grosseserratus,AM,tolerant
Helianthus_maximiliani,AM,tolerant
Holcus_lanatus,AM,tolerant
Hordeum_brachyantherum,AM,tolerant
Hordeum_vulgare,AM,tolerant
Hydrangea_macrophylla,AM,tolerant
Hydrangea_quercifolia,AM,tolerant
Hypericum_calycinum,AM,tolerant
Hypericum_cistifolium,AM,tolerant
Hypericum_gentianoides,AM,tolerant
Ilex_amelanchier,AM,tolerant
Ilex_cornuta,AM,tolerant
Ilex_crenata,AM,tolerant
Ilex_opaca,AM,tolerant
Iris_bracteata,AM,tolerant
Iris_tenax,AM,tolerant
Juglans_major,AM,tolerant
Juglans_microcarpa,AM,tolerant
Juglans_regia,AM,tolerant
Juniperus_chinensis,AM,tolerant
Koelreuteria_paniculata,AM,tolerant
Lagerstroemia_indica,AM,tolerant
Lathyrus_japonicus,AM,tolerant
Lathyrus_polyphyllus,AM,tolerant
Lathyrus_tuberosus,AM,tolerant
Lespedeza_hirta,AM,tolerant
Lespedeza_thunbergii,AM,tolerant
Lespedeza_virgata,AM,tolerant
Leucanthemum_vulgare,AM,tolerant
Leymus_arenarius,AM,tolerant
Leymus_cinereus,AM,tolerant
Liatris_pilosa,AM,tolerant
Liatris_pycnostachya,AM,tolerant
Liatris_squarrulosa,AM,tolerant
Ligustrum_obtusifolium,AM,tolerant
Ligustrum_ovalifolium,AM,tolerant
Ligustrum_vulgare,AM,tolerant
