Plant_species,Mycorrhizal_strategy,Drought_adaptation
Andromeda_polifolia,EEM,sensitive
Calluna_vulgaris,EEM,sensitive
Empetrum_nigrum_subsp._hermaphroditum,EEM,sensitive
Erica_ciliaris,EEM,sensitive
Erica_cinerea,EEM,tolerant
Erica_erigena,EEM,sensitive
Erica_mackaiana,EEM,sensitive
Erica_tetralix,EEM,sensitive
Erica_vagans,EEM,sensitive
Vaccinium_erythrocarpum,EEM,sensitive
Vaccinium_macrocarpon,EEM,sensitive
Vaccinium_myrtillus,EEM,tolerant
Vaccinium_smallii,EEM,tolerant
Alopecurus_aequalis,NR,sensitive
Alopecurus_magellanicus,NR,sensitive
Alopecurus_arundinaceus,NR,sensitive
Alopecurus_pratensis,NR,sensitive
Astragalus_cicer,NR,sensitive
Hypericum_ascyron,NR,sensitive
Hypericum_prolificum,NR,sensitive
Hypericum_punctatum,NR,sensitive
Hypericum_mutilum,NR,sensitive
Alopecurus_geniculatus,NR,sensitive
Alopecurus_myosuroides,NR,sensitive
Cicuta_douglasii,NR,sensitive
Claytonia_perfoliata,NR,sensitive
Claytonia_sibirica,NR,sensitive
Hypericum_boreale,NR,sensitive
Hypericum_galioides,NR,sensitive
Valeriana_occidentalis,NR,sensitive
Hypericum_fasciculatum,NR,tolerant
Astragalus_canadensis,NR,tolerant
Hypericum_calycinum,NR,tolerant
Hypericum_cistifolium,NR,tolerant
Hypericum_gentianoides,NR,tolerant
Bassia_hyssopifolia,NR,sensitive
Brassica_juncea,NR,sensitive
Brassica_napus,NR,sensitive
Brassica_rapa,NR,sensitive
Cardamine_oligosperma,NR,sensitive
Cardamine_breweri,NR,sensitive
Cardamine_bulbosa,NR,sensitive
Cardamine_cordifolia,NR,sensitive
Cardamine_douglassii,NR,sensitive
Cardamine_pensylvanica,NR,sensitive
Ceratophyllum_demersum,NR,sensitive
Lemna_minor,NR,sensitive
Lemna_trisulca,NR,sensitive
Lemna_valdiviana,NR,sensitive
Nelumbo_lutea,NR,sensitive
Potamogeton_amplifolius,NR,sensitive
Potamogeton_crispus,NR,sensitive
Potamogeton_diversifolius,NR,sensitive
Potamogeton_gramineus,NR,sensitive
Potamogeton_natans,NR,sensitive
Potamogeton_nodosus,NR,sensitive
Potamogeton_praelongus,NR,sensitive
Potamogeton_robbinsii,NR,sensitive
Potamogeton_compressus,NR,sensitive
Rorippa_palustris,NR,sensitive
Rorippa_sylvestris,NR,sensitive
Sagina_saginoides,NR,sensitive
Saponaria_officinalis,NR,tolerant
Erysimum_capitatum,NR,tolerant
Lepidium_montanum,NR,tolerant
Carex_amphibola,NR,sensitive
Carex_aquatilis,NR,sensitive
Carex_bigelowii,NR,sensitive
Carex_blanda,NR,sensitive
Carex_capillaris,NR,sensitive
Carex_cristatella,NR,sensitive
Carex_disperma,NR,sensitive
Carex_echinata,NR,sensitive
Carex_flaccosperma,NR,sensitive
Carex_gracillima,NR,sensitive
Carex_grayi,NR,sensitive
Carex_lenticularis,NR,sensitive
Carex_leptonervia,NR,sensitive
Carex_livida,NR,sensitive
Carex_lupulina,NR,sensitive
Carex_lurida,NR,sensitive
Carex_rostrata,NR,sensitive
Carex_saxatilis,NR,sensitive
Carex_scirpoidea,NR,sensitive
Carex_scopulorum,NR,sensitive
Carex_sparganioides,NR,sensitive
Carex_stipata,NR,sensitive
Carex_vesicaria,NR,sensitive
Carex_viridula,NR,sensitive
Carex_vulpinoidea,NR,sensitive
Cyperus_compressus,NR,sensitive
Cyperus_haspan,NR,sensitive
Cyperus_lancastriensis,NR,sensitive
Cyperus_odoratus,NR,sensitive
Cyperus_strigosus,NR,sensitive
