Plant species,Latitude,Longitude
Zea mays,39.18,-7.62
Zea mays,38.017,-7.483
Zea mays,38.017,-7.483
Zea mays,38.017,-7.867
Zea mays,38.667,-8.617
Zea mays,39.18,-7.62
Zea mays,39.18,-7.62
Zea mays,40.183,-7.517
Zea mays,40.183,-7.517
Zea mays,40.183,-7.517
Zea mays,38.833,-9.167
Zea mays,66,100
Zea mays,63,-91
Zea mays,9.1,40.5
Zea mays,52.2,5.4
Zea mays,38,23.9
Zea mays,63,-91
Zea mays,47.2,19.5
Zea mays,49.8,19.5
Zea mays,43.9,20.2
Zea mays,42,12.6
Zea mays,39.18,-7.62
Zea mays,52.2,5.4
Zea mays,40.767,29.933
Zea mays,38,27
Zea mays,48,-125
Zea mays,48,-125
Zea mays,36,-6
